Experimental Design ,,,,,,,,,
2,High and Low tyre pressure,Conventional tractor with 2 tyre pressures - High and Low,,,,,,,
2,Plough and Min till,Tillage type,,,,,,,32 x 3 reps
2,High and Low moisture levels,Dry soil and Field Capacity,,,,,, ,
2,Cover Crop / No Cover ,Will include plots in design but will not action until year 2,,,,,,,
2,High and Low Axle Load,Will include plots in design but will not action until year 2,,,,,,,
3,Reps,,,,,,,,
,,,,,,,,,
96,Plots,2 x 2 x 2 x 2 x 2 x 3,,,,,,,
3,Plot size ,3,metres,,No of plots,Total length,,,
,,,,,,,,,
288,Total experimental site length ,288,metres,,96,288,metres,,
144,Ploughed area ,144,metres,,,,,,
144,Zero Till area ,144,metres,,,,,,
,,,,,,,,,
Tyre Pressure,,2,,,,,,,
LP,Low pressure,,,,,,,,
CP,Conventional Pressure,,,,,,,,
,,,,,144,,,,
Moisture levels,,2,,,,,,,
High,Field Capacity,,,,,,,,
Low,Field Capacity - 1 day,,,,,,,,
,,,,,,,,,
Cultivation Method,,2,,,,,,,
Ploughed,,,,,,,,,
Zero Till,,,,,,,,,
,,,,,,,,,
Cover Crop,,2,(Year 2) ,,,,,,
Cover Crop ,,,,,,,,,
No Cover Crop,,,,,,,,,
3 Reps,,3,,,,,,,
,,,,,,,,,
Control,No compaction,,,,,,,,
(Between Tyre Tracks is the control),,,,,,,,,